x,y,osm_id,addr:housenumber,tourism,building,name,addr:housename,operator,amenity,name:en,addr:city,addr:postcode,int_name,wikidata,addr:street,addr:country,addr:city:en,addr:street:en,website,internet_access:fee,phone,stars,email,internet_access,alt_name,contact:phone,fax,rooms,contact:website,level,building:levels,surveillance:type,surveillance,name1,payment:mastercard,payment:american_express,name:mk,brand:wikipedia,opening_hours,payment:visa,smoking,wheelchair,payment:diners_club,addr:place,contact:booking.com,contact:facebook,contact:google_plus,contact:tripadvisor,name:sq
21.41569804,41.98592111,176448663,8,hotel,yes,Вила Водно,,,,Vila Vodno,Cкoпje,1000,Vila Vodno,Q3558351,Периша Савелиќ,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.41615571,41.98972895,176173909,18,hotel,yes,Викторија,,,,,Cкoпje,1000,,,Славе Деловски,MK,Skopje,Slave Delovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42593191,41.9859182,409230503,19,hotel,hotel,Хотел Леонардо,,,,,Cкoпje,1000,,,Партенија Зографски,MK,Skopje,Partenij Zografski,http://www.hotel-leonardo.com.mk/,no,+389 2 3177517,3,info@hotel-leonardo.com.mk,wlan,,,,,,,,,,,,,,,,,,,,,,,,,
21.4139342,41.9905303,151212910,59,hotel,yes,Аристократ палас,,,,,Cкoпje,1000,,,Елисие Поповски Марко,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4195378,41.99443525,174510458,44,hotel,office,Сити 5,,,,City 5,Cкoпje,1000,,,Митрополит Теодосиј Гологанов,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.41922718,41.99504882,121511798,1,hotel,yes,Хотел Мола,Дувет Букет,,,,Cкoпje,1000,,,Шумадиска,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.41605852,41.99527365,121512581,13,hotel,hotel,Rose Diplomatique,,,,,Cкoпje,1000,,,Роза Луксембург,MK,Skopje,Rosa Luxemburg,http://www.rosediplomatique.com.mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.41765355,41.99851235,412064016,,hotel,hotel,Glam,,,,,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42260947,41.99535225,177682992,79,hotel,yes,Лаки,,,,Laki,Cкoпje,1000,,,Аминта Трети,MK,Skopje,,,,,,,,Хотел Лаки,,,,,,,,,,,,,,,,,,,,,,,,
21.41253877,42.00114937,189939105,,hotel,yes,Dolce International Hotel,Партизанска 48,,,,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42216356,42.0023933,266131949,8A,hotel,yes,Hotel City Park,,,,,Cкoпje,1000,,,Михаил Цоков,MK,Skopje,,http://www.hotelcitypark.com.mk/en.htm,,,,,,,+389 02 3 290 860,,,,,,,,,,,,,,,,,,,,,,,
21.429371,41.99189354,176054228,,hotel,yes,Хотел Бристол,,,,Hotel Bristol,Cкoпje,1000,,,Македонија,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42996538,41.99360634,411030142,11,hotel,hotel,Best Western Hotel Turist,,Best Western,,,Cкoпje,1000,,,Ѓуро Стругар,MK,Skopje,Gjuro Strugar,,no,+389 2 3289111,4,bestwestern@hotelturist.com.mk,wlan,,,+389 2 328 9100,74,,,,,,,,,,,,,,,,,,,,,
21.42455951,41.99866662,163279467,40,hotel,yes,Дувет,,,,Duvet,Cкoпje,1000,,,Наум Наумовски Борче,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4246922,41.9995415,176147430,38,hotel,hotel,Хотел Амбасадор,,,,Hotel Ambasador,Cкoпje,1000,,,Пиринска,MK,Skopje,Pirinska,https://hotelambasador-sk.com.mk/,no,+389 2 3121383,,info@hotelambasador-sk.com.mk,wlan,,,+389 2 3215729,,,,,,,,,,,,,,,,,,,,,,
21.42950893,41.99550225,302754976,,hotel,hotel,Solun,,,,,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42949653,41.996303,175282382,,hotel,yes,Хотел Дувет,,,,Duvet Hotel,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,http://www.duvethotel.com/,,,,,,,,,,,,,,,,,,,,
21.4304859,41.99611444,223386513,,hotel,hotel,Хотел Мериот Скопје,,Marriott,,Marriott Skopje,Cкoпje,1000,Marriott Skopje,,,MK,Skopje,,,,,,,,,,,,,10,8,camera,indoor;outdoor,,,,,,,,,,,,,,,,
